best	806.783
l	m	n	cost	ed	ex	in	eA	eE	eR	dA	dE
0	0.1	1.6	1293.46	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.1	1.7	1293.46	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.1	1.8	1293.46	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.1	1.9	1293.46	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.1	2	1293.46	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.1	1756.1	39	34	28	6	8	0	34	32	0	2	31	36	30	9	20	5	32	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.2	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.3	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.4	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.5	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.6	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.7	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.8	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	0.9	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.1	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.2	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.3	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.4	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.5	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.6	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.7	1293.46	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.8	1293.46	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	1.9	1300.81	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.2	2	1300.81	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.1	1756.1	39	34	28	6	8	0	34	32	0	2	31	36	30	9	20	5	32	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.2	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.3	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.4	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.5	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.6	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.7	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.8	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	0.9	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.1	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.2	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.3	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.4	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.5	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.6	1385.88	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.7	1385.88	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.8	1300.81	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	1.9	1300.81	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.3	2	1300.81	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	4	18	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.1	1756.1	39	34	28	6	8	0	34	32	0	2	31	36	30	9	20	5	32	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.2	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.3	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.4	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.5	1749.33	39	34	28	5	8	0	35	32	0	2	31	36	30	32	5	20	9	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.6	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.7	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.8	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	0.9	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.1	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.2	1563.19	38	34	28	7	9	0	33	31	0	2	31	36	9	20	5	32	30	14	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.3	1378.53	39	34	28	5	10	0	35	30	0	2	31	14	30	32	5	20	9	36	3	7	0	6	12	25	26	21	27	0	10	15	35	22	29	28	0	11	8	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.4	1385.88	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.5	1385.88	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.6	1385.88	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.7	1385.88	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.8	1385.88	39	34	28	4	8	0	36	32	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	28	26	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	24	18	4	34	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	1.9	1304.13	39	34	27	2	7	0	38	33	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	26	28	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	34	18	4	24	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.4	2	1304.13	39	34	27	2	7	0	38	33	0	2	31	14	30	20	5	32	9	36	3	7	0	6	12	26	28	21	8	0	10	15	35	22	29	25	0	11	27	17	0	16	13	33	34	18	4	24	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
